name;latitude;longitude;points
p0;38.7411421;-9.1355632;(38.7411421, -9.1355632)
p1;38.7388848;-9.1291478;(38.7388848, -9.1291478)
p2;38.743964;-9.1430423;(38.743964, -9.1430423)
p3;38.739765;-9.1387055;(38.739765, -9.1387055)
p4;38.743513;-9.1321839;(38.743513, -9.1321839)
p5;38.7352205;-9.1455194;(38.7352205, -9.1455194)
p6;38.7399234;-9.1249003;(38.7399234, -9.1249003)
p7;38.7396071;-9.1315161;(38.7396071, -9.1315161)
p8;38.7387297;-9.1416875;(38.7387297, -9.1416875)
p9;38.7375332;-9.1343711;(38.7375332, -9.1343711)
p10;38.7429326;-9.1280795;(38.7429326, -9.1280795)
p11;38.7446023;-9.1341984;(38.7446023, -9.1341984)
p12;38.7428348;-9.1386738;(38.7428348, -9.1386738)
p13;38.7367534;-9.1411626;(38.7367534, -9.1411626)
p14;38.7402831;-9.1404814;(38.7402831, -9.1404814)
c0;38.7434780000051;-9.13838100004557;(38.7434780000051, -9.13838100004557)
c1;38.7437520004688;-9.13256600039558;(38.7437520004688, -9.13256600039558)
c2;38.7414559997727;-9.13511099946074;(38.7414559997727, -9.13511099946074)
c3;38.7402749992629;-9.13672800020981;(38.7402749992629, -9.13672800020981)
c4;38.7439020003694;-9.13246400028832;(38.7439020003694, -9.13246400028832)
